id,name,address,prefecture,city,ageRange,programs,features,description,createdAt,updatedAt,labels
1,サンシャインケア,東京都渋谷区渋谷1-1-1,東京都,渋谷区,18歳以上,デイサービス,送迎あり,利用者様の生活をサポートします。,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
2,グリーンホーム,東京都新宿区新宿2-2-2,東京都,新宿区,65歳以上,ショートステイ,駐車場あり,快適な生活環境を提供します。,2023-01-02T00:00:00Z,2023-01-02T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
3,ハートケア,東京都港区六本木3-3-3,東京都,港区,18歳以上,デイサービス,送迎あり,心身の健康をサポートします。,2023-01-03T00:00:00Z,2023-01-03T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
4,ピースホーム,東京都千代田区千代田4-4-4,東京都,千代田区,65歳以上,ショートステイ,駐車場あり,安心と安全を提供します。,2023-01-04T00:00:00Z,2023-01-04T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
5,スマイルケア,東京都世田谷区世田谷5-5-5,東京都,世田谷区,18歳以上,デイサービス,送迎あり,笑顔あふれる生活をサポートします。,2023-01-05T00:00:00Z,2023-01-05T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
6,ホープホーム,東京都中野区中野6-6-6,東京都,中野区,65歳以上,ショートステイ,駐車場あり,希望に満ちた生活を提供します。,2023-01-06T00:00:00Z,2023-01-06T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
7,ブライトケア,東京都目黒区目黒7-7-7,東京都,目黒区,18歳以上,デイサービス,送迎あり,明るい未来をサポートします。,2023-01-07T00:00:00Z,2023-01-07T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
8,ドリームホーム,東京都品川区品川8-8-8,東京都,品川区,65歳以上,ショートステイ,駐車場あり,夢のある生活を提供します。,2023-01-08T00:00:00Z,2023-01-08T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
9,スターケア,東京都大田区大田9-9-9,東京都,大田区,18歳以上,デイサービス,送迎あり,輝く生活をサポートします。,2023-01-09T00:00:00Z,2023-01-09T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
10,ミラクルホーム,東京都江東区木場10-10-10,東京都,江東区,65歳以上,ショートステイ,駐車場あり,奇跡のような生活を提供します。,2023-01-10T00:00:00Z,2023-01-10T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
11,サンライズケア,東京都墨田区墨田11-11-11,東京都,墨田区,18歳以上,デイサービス,送迎あり,朝日のような生活をサポートします。,2023-01-11T00:00:00Z,2023-01-11T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
12,レインボーホーム,東京都江戸川区江戸川12-12-12,東京都,江戸川区,65歳以上,ショートステイ,駐車場あり,虹のような生活を提供します。,2023-01-12T00:00:00Z,2023-01-12T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
13,オーシャンケア,東京都葛飾区葛飾13-13-13,東京都,葛飾区,18歳以上,デイサービス,送迎あり,海のような生活をサポートします。,2023-01-13T00:00:00Z,2023-01-13T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
14,マウンテンホーム,東京都足立区足立14-14-14,東京都,足立区,65歳以上,ショートステイ,駐車場あり,山のような生活を提供します。,2023-01-14T00:00:00Z,2023-01-14T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
15,フォレストケア,東京都荒川区荒川15-15-15,東京都,荒川区,18歳以上,デイサービス,送迎あり,森のような生活をサポートします。,2023-01-15T00:00:00Z,2023-01-15T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
16,リバーホーム,東京都台東区台東16-16-16,東京都,台東区,65歳以上,ショートステイ,駐車場あり,川のような生活を提供します。,2023-01-16T00:00:00Z,2023-01-16T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
17,デザートケア,東京都文京区文京17-17-17,東京都,文京区,18歳以上,デイサービス,送迎あり,砂漠のような生活をサポートします。,2023-01-17T00:00:00Z,2023-01-17T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
18,アイランドホーム,東京都豊島区豊島18-18-18,東京都,豊島区,65歳以上,ショートステイ,駐車場あり,島のような生活を提供します。,2023-01-18T00:00:00Z,2023-01-18T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
19,ビーチケア,東京都北区北19-19-19,東京都,北区,18歳以上,デイサービス,送迎あり,ビーチのような生活をサポートします。,2023-01-19T00:00:00Z,2023-01-19T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
20,レイクホーム,東京都板橋区板橋20-20-20,東京都,板橋区,65歳以上,ショートステイ,駐車場あり,湖のような生活を提供します。,2023-01-20T00:00:00Z,2023-01-20T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
21,スノーケア,東京都練馬区練馬21-21-21,東京都,練馬区,18歳以上,デイサービス,送迎あり,雪のような生活をサポートします。,2023-01-21T00:00:00Z,2023-01-21T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
22,サンダーホーム,東京都中野区中野22-22-22,東京都,中野区,65歳以上,ショートステイ,駐車場あり,雷のような生活を提供します。,2023-01-22T00:00:00Z,2023-01-22T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
23,ライトニングケア,東京都杉並区杉並23-23-23,東京都,杉並区,18歳以上,デイサービス,送迎あり,稲妻のような生活をサポートします。,2023-01-23T00:00:00Z,2023-01-23T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
24,クラウドホーム,東京都豊島区豊島24-24-24,東京都,豊島区,65歳以上,ショートステイ,駐車場あり,雲のような生活を提供します。,2023-01-24T00:00:00Z,2023-01-24T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
25,スターライトケア,東京都中野区中野25-25-25,東京都,中野区,18歳以上,デイサービス,送迎あり,星のような生活をサポートします。,2023-01-25T00:00:00Z,2023-01-25T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
26,ムーンホーム,東京都杉並区杉並26-26-26,東京都,杉並区,65歳以上,ショートステイ,駐車場あり,月のような生活を提供します。,2023-01-26T00:00:00Z,2023-01-26T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
27,サンケア,東京都豊島区豊島27-27-27,東京都,豊島区,18歳以上,デイサービス,送迎あり,太陽のような生活をサポートします。,2023-01-27T00:00:00Z,2023-01-27T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
28,プラネタリウムホーム,東京都中野区中野28-28-28,東京都,中野区,65歳以上,ショートステイ,駐車場あり,惑星のような生活を提供します。,2023-01-28T00:00:00Z,2023-01-28T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
29,ギャラクシーケア,東京都杉並区杉並29-29-29,東京都,杉並区,18歳以上,デイサービス,送迎あり,銀河のような生活をサポートします。,2023-01-29T00:00:00Z,2023-01-29T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
